attribute_code,label,values,type,input,entity_type,attribute_set,attribute_set_group,user_defined,visible,global,searchable,filterable,visible_in_advanced_search,filterable_in_search,visible_on_front,used_in_product_listing,required,comparable
demco_book_jacket_size,Book Jacket Size,"8""H,18"" Jacket Cover Length,9""H, 19"" Jacket Length,12""H, 24"" Jacket Length,14""H, 28"" Jacket Length,10""H, 21"" Jacket Length,8""H, 18"" Jacket Length,16""H, 30"" Jacket Length                                             ",int,select,catalog_product,Library Supplies,Library Supplies=Library Supplies,1,1,1,1,1,1,1,1,0,0,1
demco_book_jacket_size_roll,Book Jacket Size (Roll),"10"" x 300' Roll                                   ",int,select,catalog_product,Library Supplies,Library Supplies=Library Supplies,1,1,1,1,1,1,1,1,0,0,1
demco_reddi_covers_size,Reddi Covers Size,"10 Each 7"",8"",9""H,Books 12""H",int,select,catalog_product,Library Supplies,Library Supplies=Library Supplies,1,1,1,1,1,1,1,1,0,0,1
demco_bone_folder_length,Bone Folder Length,"Small,5-4/5"" x 5/8"" x 1/4""                       ",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_cover_size,Cover Size,"8 3/8""H x 10""W,Book Up To 9""H,8 1/4""H x 13 5/8"" Book Length,6-1/2""H                                     ",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_cover_qty_pair_per_pkg,Cover Qty Pair Per Pkg,25 pairs/pkg.                                     ,int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_cover_material,Cover Material,"2-mil Polypropylene Covers,4-mil Vinyl Covers ",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_cover_thickness,Cover Thickness,4.7 mil                                           ,int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_cover_qty_units_per_pkg,Cover Qty Units Per Pkg,"200,500 Sheets/Box,25 Sheets/Box,50 Sheets/Box",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_laminate_cover_size,Laminate Cover Size,"8"" x 200"" Roll",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_laminate_cover_finish,Laminate Cover Finish,"Gloss,Matte",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_magazine_binding,Magazine Binding,"Stapled,Perfect-bound                                     ",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_magazine_protector_size,Magazine Protector Size,"13-5/8""H Mag size 12-5/8 x 9-1/2",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_magazine_cover_style,Magazine Cover Style,"Flexible Magazine Covers,Rigid Back,Flexible Front Magazine Cover",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_magazine_cover_color,Magazine Cover Color,"Blue,Red,Black",int,select,catalog_product,Library Supplies,Library Supplies=Protection,1,1,1,1,1,1,1,1,0,0,1
demco_seating_shape,Seating Shape,"Round,Square                                            ",int,select,catalog_product,Furniture,Furniture=Seating,1,1,1,1,1,1,1,1,0,0,1
demco_seating_material,Seating Material,"Styrene,Foam                                              ",int,select,catalog_product,Furniture,Furniture=Seating,1,1,1,1,1,1,1,1,0,0,1
demco_seating_style,Seating Style,"Tuff Duck Oversized,Cotton Oversized                                  ",int,select,catalog_product,Furniture,Furniture=Seating,1,1,1,1,1,1,1,1,0,0,1
demco_seating_size,Seating Size,"Adult-size 107"",Child-size 93""                                    ",int,select,catalog_product,Furniture,Furniture=Seating,1,1,1,1,1,1,1,1,0,0,1
demco_storage_style,Storage Style,"Divided,Open                                              ",int,select,catalog_product,Furniture,Furniture=Storage,1,1,1,1,1,1,1,1,0,0,1
demco_storage_size,Storage Size,"8 1/2""W,25 books,6""W,15 books                                     ",int,select,catalog_product,Furniture,Furniture=Storage,1,1,1,1,1,1,1,1,0,0,1
demco_storage_color,Storage Color,"Clear,Yellow,Green,Red,Yellow                                            ",int,select,catalog_product,Furniture,Furniture=Storage,1,1,1,1,1,1,1,1,0,0,1
demco_seating_fabric,Seating Fabric,"Grade 1,Grade 2                                           ",int,select,catalog_product,Furniture,Furniture=Seating,1,1,1,1,1,1,1,1,0,0,1
demco_diplay_style,Display Style,"Floor-standing,Tabletop,Double Sided,2-tier Display                                    ",int,select,catalog_product,Furniture,Furniture=Displays,1,1,1,1,1,1,1,1,0,0,1
demco_table_shape,Table Shape,"Square,Rectangle                                         ",int,select,catalog_product,Furniture,Furniture=Tables,1,1,1,1,1,1,1,1,0,0,1
demco_table_size,Table Size,"21""-30""H x 48""W x 48""D,21""-30""H x 72""W x 36""D                            ",int,select,catalog_product,Furniture,Furniture=Tables,1,1,1,1,1,1,1,1,0,0,1
demco_table_style,Table Style,"With Legs,17""H,Standard,10""H                                    ",int,select,catalog_product,Furniture,Furniture=Tables,1,1,1,1,1,1,1,1,0,0,1
demco_desk_style,Desk Style,"with Casters,with Glides                                       ",int,select,catalog_product,Furniture,Furniture=Desks,1,1,1,1,1,1,1,1,0,0,1
demco_desk_size,Desk Size,"29 1/2""H x 60""W x 24""D,29 1/2""H x 36""W x 24""D                            ",int,select,catalog_product,Furniture,Furniture=Desks,1,1,1,1,1,1,1,1,0,0,1
demco_cpu_workstations_style,Computer Workstations Style,Adjustable Height                                 ,int,select,catalog_product,Furniture,Furniture=Computer Workstations,1,1,1,1,1,1,1,1,0,0,1
demco_cpu_workstations_size,Computer Workstations Size,"48""W x 20""D,60""W x 30""D                                       ",int,select,catalog_product,Furniture,Furniture=Computer Workstations,1,1,1,1,1,1,1,1,0,0,1
demco_chair_style,Chair Style,"Teacher's Chair,Plastic                                           ",int,select,catalog_product,Furniture,Furniture=Chairs,1,1,1,1,1,1,1,1,0,0,1
demco_chair_size,Chair Size,"17 1/2""H,15 1/2""H                                          ",int,select,catalog_product,Furniture,Furniture=Chairs,1,1,1,1,1,1,1,1,0,0,1
